x,f(x)
-3.0,0.011108996538242306
-2.9,0.014920786069067842
-2.8,0.019841094744370298
-2.6999999999999997,0.026121409853918257
-2.5999999999999996,0.03404745473459938
-2.4999999999999996,0.043936933623407455
-2.3999999999999995,0.0561347628341338
-2.2999999999999994,0.07100535373963707
-2.1999999999999993,0.08892161745938645
-2.099999999999999,0.11025052530448541
-1.9999999999999991,0.13533528323661292
-1.899999999999999,0.1644744565771552
-1.799999999999999,0.19789869908361504
-1.6999999999999988,0.235746076555864
-1.5999999999999988,0.2780373004531947
-1.4999999999999987,0.3246524673583504
-1.3999999999999986,0.3753110988514003
-1.2999999999999985,0.42955735821074
-1.1999999999999984,0.48675225595997257
-1.0999999999999983,0.5460744266397105
-0.9999999999999982,0.6065306597126345
-0.8999999999999981,0.6669768108584755
-0.799999999999998,0.726149037073692
-0.699999999999998,0.7827045382418693
-0.5999999999999979,0.8352702114112731
-0.4999999999999978,0.8824969025845963
-0.3999999999999977,0.9231163463866366
-0.2999999999999976,0.9559974818331006
-0.1999999999999975,0.9801986733067558
-0.09999999999999742,0.9950124791926825
2.6645352591003757e-15,1.0
0.10000000000000275,0.995012479192682
0.20000000000000284,0.9801986733067547
0.30000000000000293,0.9559974818330991
0.400000000000003,0.9231163463866346
0.5000000000000031,0.882496902584594
0.6000000000000032,0.8352702114112704
0.7000000000000033,0.7827045382418664
0.8000000000000034,0.7261490370736889
0.9000000000000035,0.6669768108584723
1.0000000000000036,0.6065306597126313
1.1000000000000032,0.5460744266397075
1.2000000000000037,0.48675225595996946
1.3000000000000043,0.42955735821073676
1.400000000000004,0.3753110988513975
1.5000000000000036,0.324652467358348
1.600000000000004,0.27803730045319236
1.7000000000000046,0.2357460765558617
1.8000000000000043,0.19789869908361316
1.900000000000004,0.16447445657715368
2.0000000000000044,0.13533528323661148
2.100000000000005,0.11025052530448409
2.2000000000000046,0.08892161745938543
2.3000000000000043,0.07100535373963629
2.400000000000005,0.05613476283413308
2.5000000000000053,0.04393693362340683
2.600000000000005,0.03404745473459891
2.7000000000000046,0.02612140985391791
2.800000000000005,0.019841094744369996
2.9000000000000057,0.014920786069067602
